CA;ResultatNet;ValeurAjoutee;EBE;ResultatExploitation;ActifsEconomiques;FondsPropresNet;TotalBilan;FondsRoulement;BFR;CapitauxPermanents;ActifsImmobilises;ActifsImmobilisesHP;CashFlowNet;Tresorerie;ChargesFinancieres;DMLT;ChargesPersonnel;AchatsConsommes;AchatsTTC;MoyenneStocks;MoyenneCreances;MoyenneDettesFournisseurs;Defaut
49514414;1689986;11368367;8140047;15299857;15194920;9431275;21124825;9088515;8376553;9837219;11364835;11364835;2509587;711962;7517916;19592057;7104584;9255343;11620020;9107395;6129349;6860191;1
56067284;-843613;13859788;11031440;24501228;17809827;9890005;160467733.3;8403370;13751075;15183403;15055250;15055250;4781070;-5347705;10134353;13979213;7452490;10264221;11863743;9832885;10095969;6177779;1
69642375;-285039;28042302;20085767;17672931;16541703;26430014;120162660;10852063;8583767;19453014;16083678;16083678;5781020;2268296;13482294;24077115;14410035;8305574;12682980;7980795;9949443;9346471;1
36375489;4859755;10288791;7415231;12506843;7600697;5932770;32398366.67;6324290;5975396;6890629;6837899;6837899;1845696;348894;6100407;11752900;6015339;6905143;8390440;6807081;5323734;6155419;1
9207377;1292711;3874767;2886379;3790274;3126239;1432053;18467300;921892;1497709;1775812;2555052;2555052;722311;-575817;1302488;2274062;1840553;1005751;2212837;1541774;1738329;1782394;0
48201363;4831110;12715742;9995827;16479821;14316609;16376154;34507928.57;4828331;11004857;13143036;15561188;15561188;3652047;-6176526;6845417;15787737;9088388;7844589;8407162;9492233;7648545;6135921;1
49976736;7742475;18038476;12961380;17022464;19712225;17010482;77424750;9098897;3220482;13201882;9992645;9992645;2528091;5878415;8857637;15045196;9051439;5977002;11873008;5857510;6684416;9321444;1
26199395;3971850;7938685;5615214;9866535;7844783;7183101;36107727.27;4637545;2960268;6491974;7391102;7391102;1503677;1677277;3643657;7231138;5458065;4344291;6475986;3376677;4140271;4556680;1
39995621;7392818;14242518;11389626;18131990;9750962;7950368;147856360;7821278;4161370;10882144;12412204;12412204;3631493;3659908;6899670;8456178;6507783;6299013;8780591;5900478;5552606;7291714;0
23988986;153755;7879634;5697436;11141011;6790554;6221281;1281291.667;3772711;4599972;4887749;4355220;4355220;1500710;-827261;3563019;6246952;3038004;4129910;5266055;4234785;4669313;4304126;0
54225308;149734;12869627;8846803;27718777;14028512;16381637;2495566.667;9893334;9832287;15215602;13377957;13377957;4686703;61047;6894089;11515730;8096712;10639422;10839350;10791521;6131045;7090279;0
36290287;4716352;10930608;7380530;13150199;7637830;12786130;94327040;7062584;5873300;8732450;12173917;12173917;2894526;1189284;4092849;12081324;6965915;5122389;5982631;5147438;7107860;6381998;1
74550253;1928323;30372505;24463639;25734837;16584881;11807106;38566460;7806864;17616371;15921803;11392721;11392721;5245366;-9809507;14039205;20664668;14111543;8175612;14902849;14505453;11062028;7951110;1
39934725;853155;17335002;13457343;17004355;9741097;6685522;7755954.545;7258445;4941305;9629531;9963662;9963662;3109186;2317140;7798483;8841544;6290343;4028635;7630300;7413536;5330784;7803015;0
13709459;2824766;6084695;4308024;5366385;4911633;2940607;23539716.67;1452539;2252329;2606719;2394005;2394005;899945;-799790;1908612;3644687;2789775;2425604;2928959;1657487;2148593;1553751;0
31280320;-3022176;12290267;8420003;14634269;9504492;10216791;43185900;3718096;2244444;7076641;8451444;8451444;2667716;1473652;5056702;7093346;4496003;5946015;5284090;4375354;3820128;5951038;0
15427676;4439455;6543141;5102497;5802331;3126308;4449582;73990916.67;2140158;2867420;4732766;3038582;3038582;1244899;-727262;1586805;5788051;2250489;2133227;3472422;2114138;2974508;2221226;1
12078891;601140;5305327;3529276;6100768;1899996;4372873;8587714.286;1739493;2235569;2722486;3379954;3379954;1025662;-496076;1305002;3189781;1483340;1838506;1955778;2281141;1648246;1693818;0
56613623;-5606072;25403841;18806151;23536975;21613187;21861423;194869483.3;6082554;3373532;17595654;12372203;12372203;4741484;2709022;5967161;15341904;11767583;11030941;13558831;5950825;8495519;11072812;0
13783892;2968323;5257718;4005592;7058444;2761657;3817684;42404614.29;1972304;990704;3047544;2560336;2560336;1263984;981600;1504461;3029592;2191395;2035756;3221960;1644282;2067021;2720599;0
61609199;16907351;13024442;9536643;31635927;15430173;10324829;281789183.3;11227173;6445810;12037752;19189796;19189796;3992343;4781363;6910299;13996873;9066100;10798808;13750048;10877608;7041140;11472938;0
65076162;4512223;13890409;10570722;14370024;22765877;12548695;32230164.29;11061500;8679690;20071789;22476426;22476426;3525134;2381810;12248038;25853469;12604631;7182232;12971740;11209905;8640201;11170416;1
50031871;619375;10320280;7158704;20213458;18268984;19569033;10322916.67;8416272;4305962;16292671;14854745;14854745;3653373;4110310;7009350;14754201;8054862;5920708;8577721;8170906;5093316;8958260;0
58323973;2648659;11956297;9345670;20212597;11505460;12961459;44144316.67;10290208;11408287;18108939;10390254;10390254;4953090;-1118079;10269531;16891426;10950419;11491711;13614197;6795688;11608665;6996066;1
19080958;1305235;6319151;4850191;8758289;6174651;5419480;9323107.143;2843248;2054717;3732376;6603833;6603833;1874917;788531;2355260;4821655;3145754;3100766;4189653;2284145;2985672;3215100;0
74477915;-6634489;32163656;24255629;34315238;17649039;11207087;189387227.3;14228303;17102506;21512429;23285087;23285087;5196047;-2874203;9086980;20202340;10873357;13477684;12549336;13608557;13680353;10186404;1
19179261;2026066;4808741;3889209;7041481;4381385;6638386;28943800;3233723;1869551;6257513;3806474;3806474;1411884;1364172;2510181;5652650;3974949;2156681;4104915;2070422;3296142;3497013;1
23315609;-2114505;9110401;6192260;9325242;4620083;8893780;33621293.33;4253398;3536713;5752869;3754678;3754678;1338992;716685;3479618;6110206;4400543;4099550;3854080;3908911;2483598;2855796;0
27390003;2203415;7993658;6360408;12073132;8617800;4841761;24482388.89;5290844;3666953;7431972;5109031;5109031;2252563;1623891;3445492;8307297;3564082;3936253;5561432;3702056;3927387;3962490;0
47892852;6722340;11949621;8951350;14654819;10216705;13067904;51710307.69;5286490;8683227;11716931;7499544;7499544;2967671;-3396737;4941499;18775329;9521205;8314442;7255476;6587321;7117974;5022068;1
12619288;2651741;5419774;3659108;5564145;2614696;4643200;22097841.67;2313041;581064;4078717;3418321;3418321;1028113;1731977;1278547;3856666;1919930;1483867;2082169;1318004;1393598;2130538;0
48650284;2129652;19046551;13276507;18844763;7820956;8464642;42593040;8095559;3734075;8156436;13533617;13533617;3601197;4361484;4936728;19025275;5843518;8648969;8678122;4894993;7519603;8680521;0
57367321;7109025;24264084;18937996;16528483;21307299;13096428;101557500;6189308;8153319;17690710;15866479;15866479;3085434;-1964011;8445484;22459250;9934104;7852298;8678925;10069143;9392460;11308284;1
27034142;-1726219;10329816;7225443;10668436;4531293;8016376;48295666.67;3640687;4156283;5296720;7666485;7666485;2263099;-515596;4995122;6526054;4844530;4428646;6349557;4325321;3300951;3469989;1
65599345;939425;21434786;15423946;29805412;11977391;11027974;8540227.273;11902705;16753618;12184387;20310962;20310962;3682434;-4850913;9339090;18199893;8254950;12466072;10763959;12918031;12438219;8602632;0
33741897;2291477;11350760;7555408;14077177;12447809;8354462;22914770;5565061;2916966;6586811;10493541;10493541;2341447;2648095;5458821;7487683;6718216;5890128;8057617;4191047;3522452;4796533;0
60164847;5163309;26176502;19572525;22557448;19835574;12114592;86055150;11486204;12949280;16428604;18636840;18636840;5430434;-1463076;6577067;23047704;7982628;8152024;14161487;10519865;10617816;8188401;1
62072768;7290510;24189665;19266017;22319074;22259588;18853315;66277363.64;11303870;14477858;13219373;11773549;11773549;3815929;-3173988;7913199;20591681;11248814;7116059;11351649;10926267;11689740;8138149;1
10184782;2042300;2980146;2257397;3579559;2381044;2345821;15710000;1201633;693367;1673725;2709627;2709627;952607;508266;2005395;3314220;1285608;1216343;1573780;1173939;1389035;1869607;1
51420037;-1079953;14898714;11081803;14771509;19225230;9570661;124796557.1;6730874;6470019;12121799;14096178;14096178;5008147;260855;8852297;17169306;10626925;6397389;8012085;7186173;9221390;9937544;1
12566342;384486;3098050;2230042;4791134;4291662;4565875;2563240;1413852;1457849;2441794;2069299;2069299;839893;-43997;1698259;4409837;1667112;2064634;2373281;1332850;2109663;1984664;0
65224084;-2144174;24365922;19070956;24488827;18210468;14377390;157678475;8077337;4086156;18075190;18365702;18365702;6293326;3991181;7461390;23557466;9716401;12876648;14807577;9885150;6983553;12782547;1
5615077;926846;2136688;1632897;2768110;1030224;1754841;7129584.615;941024;779466;1783619;1214285;1214285;523963;161558;714022;1196998;935947;734206;1301505;704421;961465;886420;0
45959692;2580912;20214300;13497625;23851191;18352531;16456224;51618240;7963127;7309803;8155040;14848389;14848389;3036810;653324;6351302;9621919;6135280;7954228;11467419;6811736;8650696;8152629;0
52419224;-646703;16949012;11393107;14721131;20880156;13412035;102008678.6;8471032;6664305;10954542;8944995;8944995;2680555;1806727;6948788;19939396;10809909;6593967;9040084;8838656;7064503;9238854;1
5690360;1095131;1951880;1336399;1439345;1662251;2141711;8424084.615;794409;936551;1097963;1499488;1499488;425648;-142142;1033236;2121241;1096538;831774;1287087;1021852;815648;900949;1
7333633;1224293;3281024;2306944;3470719;2755589;1424784;11129936.36;813180;971454;1970815;1530748;1530748;515944;-158274;1270871;1710259;881784;957964;1101760;1035826;852074;916446;0
4622132;701005;2057043;1450596;1842472;1686365;1474378;10014357.14;500732;626295;923672;804977;804977;440492;-125563;710491;1257537;811632;834718;987704;468192;660032;501929;0
68584812;12815094;29421103;20984763;25625492;16569827;22491360;256301880;11472778;14638783;11999726;23164378;23164378;5552261;-3166005;12560767;17080988;13317565;11561753;14905313;13334305;13661701;12357223;1
35114634;10436865;8626962;6870780;9078303;5660242;12347455;86973875;6752829;4219194;8522176;10147352;10147352;2393190;2533635;6960165;12081409;6994757;4055168;6486521;5008060;4687084;5475950;1
5714946;-30224;2549364;1764510;2478160;1701006;2090740;14762933.33;1111795;1303386;893277;1958746;1958746;387618;-191591;841390;1605480;789916;588456;1098017;1139420;909455;745489;1
58814296;13158609;19426367;14639627;22773887;21928382;22928551;187980128.6;6645495;11648115;11420658;14236642;14236642;4436109;-5002620;9912123;14501370;11626916;8144452;9689742;9363239;11721509;9436633;0
6328877;915382;1621542;1188893;2103918;1289570;1104989;13076885.71;1168506;1000933;1854288;1232767;1232767;370491;167573;925129;2457273;842557;1081724;1261006;823689;822073;644829;1
30493835;1269082;11997761;8299700;13926527;10119742;10451654;25381640;4830735;4386999;7525930;8392101;8392101;2654241;443736;3768293;7720998;5078017;4649752;5618179;3508939;4873999;3995939;0
21524200;-510485;7181436;5273626;5996449;7889624;7579725;95708433.33;2656025;3141361;6191676;4173722;4173722;1108762;-485336;4200635;7175443;4151673;2411203;3562503;3598121;3808150;4264910;1
37781471;1385168;8184288;5932821;12119051;13117564;6310003;12592436.36;7027827;6285738;9152333;7097806;7097806;3129039;742089;6075824;13028845;6557751;7060960;8244759;6009511;7161393;6885166;1
17860987;1463602;4008683;3111580;7862713;6449425;6276034;13305472.73;3538309;3112845;4728993;4511757;4511757;949588;425464;2703226;4750613;2544435;2452306;2691860;3539152;1860106;2286413;0
63458264;4801263;25691066;18964384;28353173;14029152;10815329;40010525;7875679;12817797;17031363;18925388;18925388;5361461;-4942118;12445134;13227629;9432328;8170467;13712613;12077173;8109410;7368786;0
50096868;1199554;12926351;9442661;19263281;12917515;8252558;9996283.333;6868119;4910127;8292867;11095100;11095100;3651814;1957992;9485772;12160563;9187252;9468874;8713713;8646101;5841727;9577701;0
13987676;391041;5655590;4130148;5715930;2100868;2584433;2606940;2579347;2195195;2885423;4621541;4621541;936631;384152;2690156;3875234;1706356;1857752;2992499;2287094;1553202;1645101;0
58474811;17035952;13143925;9921708;24174236;14316674;12472540;243370742.9;8107271;9590201;12417044;11835304;11835304;4485895;-1482930;6541629;20487863;7271083;7700075;11104582;10221333;10165589;10796721;0
7319961;1148722;2692319;1939850;2237789;2411778;2716520;19145366.67;1000309;1586531;2116098;2046258;2046258;450538;-586222;1386550;2721114;974508;1113764;1170997;1204391;1195032;812892;1
16148461;-305642;5272341;3781564;7643261;3503513;2567202;35318710;2574224;3255108;3831884;4875922;4875922;1325502;-680884;2225403;3766467;2513330;2020005;2653622;2806333;3178775;2730000;1
7706733;171509;1722550;1260650;3158957;2087020;1436596;2858483.333;1406756;1482389;1306997;1439243;1439243;519679;-75633;1016867;1932787;1598122;1411266;1895857;1185947;1113953;817511;0
59476841;16968673;16077171;12247982;25079805;13975640;18219836;154260663.6;9461738;10744825;17081753;19964306;19964306;5897418;-1283087;9715929;15711000;8970107;8505107;14132278;8216016;9661893;7133084;0
9662053;34129;3608964;2802451;3171804;1842243;1619616;227526.6667;1446808;1520923;1888560;2245527;2245527;656319;-74115;1440875;3372637;1676737;1282986;1468725;1191655;1890393;1561125;1
55637157;13791584;21504786;16154348;16697960;14158129;12192433;275831680;8566254;8910254;18204896;17999944;17999944;5455228;-344000;9900866;20163682;8874649;7042120;11461867;8529490;10612978;10232214;1
8356119;178474;2746948;2125897;2992432;2589655;3314091;1372876.923;1436676;1486209;1683040;1801768;1801768;622206;-49533;1380966;2314464;1668257;905791;1583133;1588429;974927;1077147;1
70997444;442943;25190150;17330555;37303662;19722596;11718490;4429430;9411268;13430820;21995929;20136706;20136706;3699384;-4019552;10625969;14392624;8675189;13121271;14897245;11927838;9551421;8048439;0
52885827;11194241;20905537;13983172;18298030;16735973;10598129;159917728.6;7031527;3778989;14506169;17697634;17697634;4894815;3252538;7751407;17032991;9803399;9548475;10585028;5993769;8100092;10314872;1
30306916;1673737;11922160;8019462;7540414;10329954;6311633;11955264.29;5781930;4795488;9955316;5712208;5712208;2552557;986442;5809589;11517013;5439900;4582571;5218870;5023933;5779044;6007489;1
8426070;219699;2676657;1832231;3670451;2801764;3205133;3138557.143;845871;904412;1837955;2396785;2396785;431458;-58541;1007176;2426093;1322350;1016963;1682970;900854;1131093;1127535;0
12115202;1967108;4375088;3330653;4308387;1864098;4221951;17882800;1219294;1925450;2489812;3762931;3762931;900669;-706156;2137770;3480369;2188676;1745362;2518635;1541685;2249051;1865286;1
28528702;5881700;10411309;7650780;8529191;4396634;8178885;39211333.33;5137830;5726692;7507543;5641789;5641789;2426927;-588862;3870878;10149945;5978688;5056974;5987246;5230050;3920628;3423986;1
14047235;-436563;3958365;2863904;5766203;4753790;4181284;52456900;1641582;2384098;3323051;4025687;4025687;752756;-742516;1421819;5063453;1795760;2328659;3164505;2704389;2111020;2431311;1
34658409;-926593;10944531;7452120;11589245;9017671;13647371;60714666.67;3609407;6914898;8112734;7300525;7300525;2881045;-3305491;4381620;12011629;6675915;6006636;5904896;6606423;5983650;5675175;1
24379803;6605399;10192920;7652612;11169793;5725690;8396282;55044991.67;4525202;3724978;4736595;3892429;3892429;2075984;800224;3737789;6394257;3077964;4169190;3720303;3464454;3820391;3559867;0
43852606;5888953;9438679;6828259;13103064;12256806;15874436;58889530;5209620;5571968;8352719;11208812;11208812;2499039;-362348;8375197;13389383;8984962;5944787;7670195;7528446;4749060;6705538;1
50059290;8269446;21392875;14398071;13954645;9245514;16488686;103368075;8436835;6877772;10631947;8757865;8757865;3534141;1559063;9327529;17731325;9045791;6719645;7972457;6600789;8465541;8188558;1
19682513;2026992;5816770;4604555;7937620;6630625;7296530;40539840;2140689;3266045;5865583;4294093;4294093;1636425;-1125356;2465357;5515015;3764521;3076534;3863247;3639359;3038065;3411379;0
30278891;5420228;12640414;10033129;7843592;8475714;5546886;45168566.67;3218389;1472137;7578613;6653424;6653424;2080424;1746252;4148367;12004613;6282319;3824585;5094391;3518002;3182373;5228238;1
67835070;1798628;17332888;12638170;24171587;14267215;11348999;13835600;12269700;18235584;19173884;21122181;21122181;4151473;-5965884;8664765;23279000;11719718;8832859;11577308;12423007;13412396;7599819;1
20902310;1971845;7320302;5131270;8643582;4775301;4064139;19718450;2187529;3615286;3384104;5784136;5784136;2068352;-1427757;2727205;5261874;4269649;3183702;4106460;3392204;2643636;2420554;0
2379536;-107448;1006016;773347;752863;552282;849700;3932507.143;462645;220881;519819;785563;785563;179133;241764;244944;946895;434834;456465;412941;316017;290360;385496;1
55674668;37708;22073583;15558526;19801641;12021039;21922872;314233.3333;7763058;5157760;11402052;11187944;11187944;4087572;2605298;6513108;17736687;11623232;10492438;9436172;6759686;9352912;10954838;1
13537573;-847183;3227415;2471082;4371830;3417139;3970864;19915430;2610014;850922;2951870;4438484;4438484;1020444;1759092;2208410;5090320;1867013;1477138;2079994;1834193;1616952;2600223;1
23894497;-359553;8463673;6574522;9930292;7113299;8645571;42684192.86;3234018;2729594;4448011;7716354;7716354;2279322;504424;3950388;5976803;4037014;4504429;4169403;3812412;3511082;4593900;0
43998234;366616;10375018;8214996;18908110;12269978;12778170;5237371.429;8622017;4057928;13740529;9818393;9818393;4157155;4564089;5179767;13972074;5938283;7068396;9331723;7307131;4749941;7999144;0
73043981;976910;18110988;13415803;36204965;18160434;20418546;6512733.333;8925272;8545042;18814623;21533914;21533914;3688970;380230;9585744;16668471;10584801;11556815;16997776;11126548;9303109;11884615;0
16456840;824476;4750361;3187928;4705030;4263405;3967975;5889114.286;2732515;2874631;4893792;5759416;5759416;1526218;-142116;2209256;6100403;3442151;3277217;3635728;2555456;2538847;2219672;1
52686189;6781016;20211505;13763961;22201588;13122130;17608506;96871657.14;8503988;8506261;16689026;10014115;10014115;3099072;-2273;9896006;12034694;8553901;8741270;12399540;9374555;7739025;8607319;0
73644507;19548681;17118142;12273222;23497252;23195742;21362900;217207566.7;8653895;14951271;21717613;19097952;19097952;6543689;-6297376;14534147;24352864;11260244;9538392;11776271;12077228;10641635;7767592;1
23135162;117183;8385910;6397151;7036820;4980040;3713131;1065300;4288832;2979393;4771831;6886273;6886273;2118262;1309439;4428931;7726686;3942725;4328925;4212477;2771388;2569358;2361353;1
27790576;4746414;8468417;6089471;13024105;6699589;10874200;52737933.33;3287966;3028172;5007543;5985762;5985762;2700398;259794;4836937;5757688;4171846;2911619;4247263;5476798;3044370;5492996;0
23993847;1604484;10460104;7273586;11146279;4637474;9137428;16044840;4228324;4952660;6083214;7136093;7136093;1818678;-724336;3291519;6170485;3385564;2771902;4275969;4108773;4338368;3494481;0
32930110;1796724;11079945;8237736;11874246;6590692;7005227;12833742.86;4322947;8547543;5265246;6244380;6244380;3160675;-4224596;4251445;11919592;4884827;5882582;5571929;5544539;6374781;3371777;1
10288469;2088304;3408007;2334466;4883818;1654575;3657849;18984581.82;1162170;1385627;2287568;1805490;1805490;619379;-223457;1318398;2131681;1954572;1386216;1818273;1724508;1588374;1927255;0
37046909;8180165;15326801;10229036;14413156;11207326;9045629;136336083.3;4978407;7887724;9498097;6672557;6672557;1865761;-2909317;3994353;12969628;5669772;6682986;6052634;5793037;6289002;4194315;0
43519158;-1310115;16790093;11416343;14810416;8899203;6611255;147553233.3;6819535;6398247;8713155;11045737;11045737;4263072;421288;7202912;15597259;5908571;7848987;7294883;5854677;6153641;5610071;1
35015145;189537;7155788;4820113;9501210;8090195;5259155;1353835.714;6989900;5192905;7607525;7657468;7657468;2853817;1796995;6739123;12004588;6770224;3818203;8347379;5232019;6763203;6802317;1
8075165;1319062;1716201;1221208;3850164;3199216;2090055;9421871.429;1199739;952188;1690190;1822288;1822288;477975;247551;1280156;1860171;1084674;1431922;1412356;1125869;935559;1109240;0
29615032;-2806141;6231167;4625106;13246713;6347506;9333652;22948669.23;5440876;3954039;6889264;9943569;9943569;2437204;1486837;4619602;6151750;5596967;5210562;4445707;4340497;3227085;3613543;0
46458159;71043;12138338;9518233;15715256;18447306;7694570;789366.6667;7787687;8645207;10051952;8866465;8866465;3479906;-857520;8554931;12484791;9703181;6576453;7106404;5248993;8931586;5535372;1
67198797;12782343;29179992;22912619;29558844;24214966;25464685;85215620;11784974;4663485;16692490;19385880;19385880;4101789;7121489;11647614;16358457;9633882;8604473;13751543;9571151;7278287;12185953;0
71003142;9831882;27292907;21679108;23397145;26688926;13427415;140455457.1;10304915;15057063;16895611;14209102;14209102;6649519;-4752148;7656125;27290627;12659245;8233975;12546059;14147260;8765061;7855258;1
66310053;11519943;19170096;14876700;31606363;16818709;11828333;127999366.7;8730435;13951244;10267364;13113591;13113591;4596046;-5220809;8229091;16241099;10233500;10055588;14769147;11887778;12255505;10192039;0
28989542;7069683;12360970;9107781;9429845;5716567;4912606;141393660;3624399;4130114;9517797;9662632;9662632;1624684;-505715;3559120;11374147;4626430;4325579;5382866;4751920;4812056;5433862;1
51462726;8217386;15464237;11424679;22062149;9867992;13358022;136956433.3;6202053;6027231;12823775;7937543;7937543;4579323;174822;7623512;14949333;6827732;9201019;12274960;5900473;6830297;6703539;0
35466303;-2375867;15324971;12230754;12338604;6000772;6944596;49232515.38;6356110;5808776;9030557;7271445;7271445;1976398;547334;4998838;10956699;7172162;6851277;5444796;4638742;6113511;4943477;1
73093837;20890392;23385931;16457081;22152850;15529946;17457618;232115466.7;14053791;8458535;14462997;11944845;11944845;4600107;5595256;13475601;28286278;9179108;14186273;15655894;10063581;10220924;11825970;1
70212998;5450997;16881811;13559270;28491961;26405403;20413856;38935692.86;9764557;9293156;17625083;15967523;15967523;5452333;471401;9903416;20925445;10892176;8575430;12947037;9648694;11639321;11994859;0
11522960;-96308;2667296;1932425;4796227;2498663;4474605;15811866.67;1299458;935469;3366367;2300988;2300988;590977;363989;1555731;3012211;2158791;2011733;2812009;1168025;1783634;2016190;0
50680107;7843932;14067174;9369911;19780230;10816164;16606380;52292880;7493248;5162129;11097008;14226122;14226122;2818161;2331119;7609911;15168888;8121078;9160102;9750812;6279089;7970631;9087591;0
61006838;-2228784;24705303;16983130;27375505;23172905;15140439;143483360;7141061;13718940;14778817;11223307;11223307;4059247;-6577879;9251063;13775663;10604607;7521864;12395851;10601169;9583505;6465734;1
67415728;-2763691;26730128;18985666;21263700;13317959;13947596;108436921.4;11483396;15279272;12247728;22409681;22409681;3818711;-3795876;9385575;24628664;12137789;13228114;14564953;13286420;10331862;8339010;1
17561347;-1133680;5624475;3760287;8568568;2808032;6440306;58057940;2982786;2318048;3811039;5005705;5005705;925013;664738;1957356;4264495;2770928;3045885;2877113;2540261;3151286;3373499;0
63678061;149768;27295518;21040301;28739118;24810382;15856996;1152061.538;9016764;9967441;16852442;20718122;20718122;5647464;-950677;10543510;13350922;11044511;6992216;10473048;11182443;11124518;12339520;0
63646500;11663584;24912626;17656128;27132961;22651265;24972776;97196533.33;7284921;6047579;20814897;13448303;13448303;3414058;1237342;8306010;17648798;10558731;12125062;12081664;9200952;9305261;12458634;0
58646076;9748965;17783817;12484181;16583258;16484914;21834244;194979300;8781622;7374622;16055831;15340639;15340639;4087294;1407000;10642143;22105386;9315289;6665883;14278559;7130211;11212126;10967715;1
41140033;3781548;8792453;6331429;16206445;9911303;8589144;42017200;6126300;2965232;6351302;10932259;10932259;3291421;3161068;6325622;12402714;6205252;6181366;6406431;4758007;5181726;6974501;0
46283083;-3604665;10107214;7653827;17661299;7524158;16286318;79085373.33;6827200;9275411;11630102;7504760;7504760;4593949;-2448211;7334875;14062597;7224312;5391305;8756859;6973998;8745888;6444475;1
67568695;1987884;21115974;15302717;16373005;21217224;15557835;16565700;11665085;6985144;10619401;11779806;11779806;5581322;4679941;11801202;26601899;12792589;10366587;14963226;8464882;10242329;11722067;1
18661595;1340504;7790487;5880853;6054932;7267982;4949618;16756300;2025647;1598152;4339074;4097962;4097962;1526310;427495;3314609;6881176;2410878;2968210;2799738;2147692;3026985;3576525;1
40049273;9389598;10171795;8120048;14403742;6728900;8390605;104328866.7;5179650;6745214;9028989;10683140;10683140;2712257;-1565564;4234683;15124101;6286747;7024658;7422552;6601498;5186249;5042533;1
41916627;-1366065;12886755;8579791;18880890;15061506;11416890;74970858.33;5008104;3107572;10825292;14504799;14504799;2569429;1900532;7953095;9174725;5907917;7528203;9910002;4566225;6816258;8274911;0
52860618;8177554;19292736;15046863;26129919;8078706;15594084;74341400;7170332;9327168;11144060;14292981;14292981;3770395;-2156836;7830367;12178850;6721482;7198410;9872786;7997825;7566327;6236984;0
60611384;12565478;12702213;8716818;18903171;23104758;10925224;125654780;7235205;11959906;12667226;17334668;17334668;3244695;-4724701;8775271;22654693;10278249;10449939;12108744;6971588;11588379;6600061;1
49303494;11790756;13394565;9446286;18079618;13958097;16112264;117907560;5474858;6528529;13260688;16931810;16931810;4336996;-1053671;8321581;14343963;8558332;7081976;10106231;6224576;6763027;6459074;1
60822054;-3317062;20835844;16369866;22344286;13580575;12598052;94569066.67;8136577;7801396;17385366;19120608;19120608;3995580;335181;7913250;23249869;7314649;8885373;12285966;11428118;8492271;12118993;1
19353234;5619271;7075719;5615758;7606993;5665186;6415839;80275300;2302082;2813213;5605239;3083749;3083749;1861749;-511131;3684914;4427765;3633562;2516171;3847480;3311565;2466677;2965029;0
3936135;-165723;860025;631890;1663443;1324151;1164653;8857500;487720;826328;1066005;798295;798295;370420;-338608;709800;929504;633388;524019;963708;631587;774362;579621;1
42099386;4805014;10116012;7476562;22211474;14806559;8699739;68643057.14;5756486;3688629;10385897;10686297;10686297;4180835;2067857;5897203;8484353;5506356;4218131;8760561;5126618;6859728;8297717;0
70236550;531;23391737;18326494;30841026;18450533;25718847;8850;7669689;12896458;12957869;18566361;18566361;4080547;-5226769;12137846;16416942;10840736;10769290;14173665;13638301;9266804;10008647;0
16791495;4050795;7306386;5447183;5430706;6036585;3360343;67513250;2104888;3020875;4776879;3620962;3620962;1600406;-915987;1688975;6386243;3285571;2949849;3018674;2918809;2386246;2284180;1
39749219;4983167;12037291;8668768;16051698;14125745;10912013;55368522.22;4580587;3652265;9873873;13070878;13070878;3472085;928322;5772747;9963446;7961328;7819521;8190431;4717289;6408644;7473668;0
45826504;13154779;10745735;7863585;14444691;9233405;15200861;119588900;7967335;6148086;12856661;8513064;8513064;4090062;1819249;4824620;18063194;8493999;8979379;8170409;6394175;7380992;7627081;1
74808363;15622611;22238643;17781368;32385476;28857840;18349908;142023736.4;11496014;8343589;14895726;17112922;17112922;4605980;3152425;9461993;20054990;12905904;11723359;12696959;7653505;12069668;11379584;0
60258468;-5019223;13496295;10664405;18288169;9893478;10651177;56581828.57;9271245;10180024;16930782;10770469;10770469;5821008;-908779;8123581;21675646;12171072;11132500;11966928;11647033;9093940;10560949;1
67990878;10107641;28262303;21436793;26173814;22258405;11636784;67384273.33;7044450;11489048;20220968;18564910;18564910;4908206;-4444598;7165396;23894001;10757667;12644590;13524074;13145317;8986225;10642494;0
44253843;-849812;19902045;15529888;16495568;13844628;13073759;108446487.5;8440893;3865140;8045244;9616926;9616926;2347038;4575753;7501804;12586012;7670459;7548942;7081773;6275664;4619118;7029642;1
25567966;3490989;10090846;7269542;9658959;6656399;9048725;29091575;4313861;4193995;6505786;4374527;4374527;1341881;119866;4399631;8322683;3186693;4087466;6320513;4579365;2630665;3016035;1
43542783;-1947560;13661210;9131034;12655323;13109661;9563691;55206140;5044211;11458868;14317644;9141745;9141745;3303339;-6414657;7165131;14895227;8827102;7001471;6813353;8531322;8022569;5095023;1
35937488;8352020;11035867;8631793;7601325;11873482;10519258;83520200;5151808;5326664;7561654;7414747;7414747;2234001;-174856;6822842;14261743;7251578;5785542;5637724;3770398;5356067;3799801;1
22665286;1597785;7387786;5618254;11065994;4165283;7478310;15977850;2385307;4072180;3852455;6538536;6538536;1761023;-1686873;2501939;5044036;4053317;3144476;3531100;3247901;3571227;2746948;0
48295275;11485219;16654793;12831017;19238847;9861818;16847312;82037278.57;6142681;8577040;10966097;9226814;9226814;3049832;-2434359;8550160;13780475;6725793;6739199;7789868;9391529;6234121;7048610;0
24483448;-877444;7233583;4937008;6488742;4212567;7608420;60054262.5;4389430;4520670;7485201;6480183;6480183;1809284;-131240;4587980;8552591;4854135;4078334;5235145;4340131;4405912;4225373;1
